symbol,name
20MICRONS,20 Microns Limited
21STCENMGM,Twentyfirst Century Management Services Limited
360ONE,360 One Wam Limited
3IINFOLTD,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Ltd
5PAISA,5paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AADHARHFC,AADHAR HOUSING FINANCE L
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVI,Aarvi Encon Limited
AAVAS,Aavas Financiers Limited
ABAN,Aban Offshore Limited
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABCOTS,A B COTSPIN INDIA LIMITED
ABDL,ALLIED BLEND N DISTILS L
ABFRL,Aditya Birla Fashion and Retail Limited
ABINFRA,A B INFRABUILD LIMITED
ABLBL,ADITYA BIRLA LIFES BRAN L
ABMINTLLTD,ABM International Limited
ABREL,Aditya Birla Real Estate Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACCURACY,Accuracy Shipping Limited
ACE,Action Construction Equipment Limited
ACEINTEG,Ace Integrated Solutions Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACMESOLAR,ACME SOLAR HOLDINGS LTD
ACUTAAS,Acutaas Chemicals Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADOR,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVANCE,ADVANCE AGROLIFE LIMITED
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVENTHTL,Advent Hotels International Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
AEGISLOG,AEGIS LOGISTICS LIMITED
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD
AEQUS,AEQUS LIMITED
AEROENTER,Aeroflex Enterprises Limited
AEROFLEX,Aeroflex Industries Limited
AERONEU,Aeroflex Neu Limited
AETHER,Aether Industries Limited
AFCONS,AFCONS INFRASTRUCTURE LTD
AFFLE,Affle 3i Limited
AFFORDABLE,Affordable Robotic & Automation Limited
AFIL,AKME FINTRADE (INDIA) LTD
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Industrial Corporation Limited
AGARWALEYE,DR AGARWALS HEALTH CARE L
AGI,AGI Greenpac Limited
AGIIL,AGI Infra Limited
AGRITECH,Agri-tech (India) Limited
AGROPHOS,Agro Phos (India) Limited
AGSTRA,AGS Transact Technologies Limited
AHCL,ANLON HEALTHCARE LIMITED
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam Limited
AJANTPHARM,Ajanta Pharma Limited
AJAXENGG,AJAX ENGINEERING LIMITED
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKG,AKG Exim Limited
AKI,AKI India Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,AksharChem (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKUMS,AKUMS DRUGS AND PHARMA L
AKZOINDIA,Akzo Nobel India Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALICON,Alicon Castalloy Limited
